birth_year,gender,x102,x103,x104,x108,x109,x113,x114,x118,x119,x130,x140,x210,x258,x323
31,1,1,1,1,1,8,1,1,2,23,14,1,22,1,67
60,2,1,1,1,2,8,5,1,2,1,14,2,4,1,40
58,1,1,1,1,3,5,2,1,4,1,10,2,8,1,22
34,1,1,1,1,1,1,1,1,2,23,7,1,36,1,34
51,1,1,1,1,1,1,2,1,2,23,12,3,15,1,47
60,2,1,1,1,2,6,2,3,3,23,12,1,6,1,34
61,2,1,1,1,2,6,2,1,3,23,9,2,7,1,36
53,1,1,1,1,2,7,3,3,2,23,12,2,12,1,39
29,1,1,1,1,1,1,2,1,2,23,6,3,30,1,36
26,2,1,1,1,2,1,2,1,2,23,7,3,9,NA,74
58,2,1,1,1,2,5,3,3,3,23,12,3,7,1,35
28,1,1,1,1,2,1,2,1,2,23,6,1,38,1,41
32,1,1,1,1,1,1,1,1,2,23,7,1,33,1,37
48,1,1,1,1,2,1,2,1,2,23,12,1,19,1,47
64,2,1,1,1,6,4,5,2,3,23,12,3,0,1,30
57,2,1,1,1,2,1,3,4,2,23,11,3,9,1,38
39,1,1,1,2,2,1,2,1,2,23,8,1,24,3,45
42,2,1,1,1,2,1,2,1,2,23,14,1,18,1,44
34,2,1,1,1,2,4,2,1,2,25,12,1,6,1,34
31,1,1,2,1,2,1,2,1,2,25,9,1,36,1,39
50,1,1,2,1,2,8,2,1,2,25,16,1,11,1,57
49,2,1,1,1,2,6,2,1,2,25,10,1,14,1,45
51,1,1,1,1,2,8,2,1,3,25,11,1,14,1,48
47,2,1,1,1,2,6,2,1,3,25,10,1,20,1,56
61,1,1,1,1,2,6,5,3,3,25,9,2,5,1,35
61,1,1,1,2,6,5,6,3,4,25,12,3,3,1,36
44,2,1,1,1,6,4,2,4,4,25,16,1,22,1,64
47,1,1,1,1,2,6,2,2,3,25,19,1,13,1,44
54,2,3,1,1,2,9,6,4,3,25,17,3,6,1,44
48,2,1,1,1,2,4,2,3,3,25,8,1,21,1,36
48,1,1,1,1,2,6,2,1,3,25,7,1,20,1,64
31,1,1,1,2,2,6,2,4,3,25,10,2,33,1,59
44,2,1,1,1,2,1,2,3,3,25,12,2,20,1,45
45,1,1,1,6,4,5,3,1,3,25,15,1,14,1,53
54,2,1,1,1,6,5,2,2,3,25,15,1,10,1,39
48,1,1,2,1,2,7,2,1,3,25,10,3,15,1,49
55,2,1,1,1,8,2,2,2,3,25,11,1,8,1,38
35,1,4,2,1,2,1,2,1,1,25,8,2,24,1,43
50,1,1,1,1,2,6,5,3,3,25,14,1,12,1,72
30,2,1,1,1,2,7,2,1,3,25,10,3,35,1,39
52,2,1,2,1,2,1,2,1,2,25,13,1,11,1,58
45,1,1,2,1,1,1,2,1,2,25,11,1,15,1,43
50,2,1,1,1,2,6,2,2,3,25,13,1,14,1,52
33,2,1,2,1,8,0,2,4,2,25,7,1,23,1,43
30,1,1,1,7,2,6,2,1,3,25,7,1,37,1,37
30,2,1,2,1,2,1,2,1,2,25,8,1,10,1,35
28,1,1,1,1,2,2,2,2,2,25,7,1,43,1,50
58,2,1,1,1,6,4,6,4,3,25,15,3,3,NA,41
31,1,1,1,1,4,2,6,4,3,25,18,1,26,1,138
55,2,1,1,1,6,5,4,1,3,24,20,1,11,1,58
49,1,1,1,1,2,5,2,3,3,24,9,1,19,1,38
36,2,1,1,1,2,7,2,1,3,24,16,1,19,1,46
26,1,1,1,1,2,1,2,1,2,24,13,1,41,1,47
34,1,1,1,1,1,1,5,1,2,24,12,1,27,2,67
35,2,1,1,1,1,1,1,1,2,24,14,1,28,1,59
25,1,1,1,1,1,6,2,1,2,24,12,1,42,1,59
47,2,1,1,1,1,7,1,4,3,24,11,1,16,1,34
43,1,1,1,1,1,1,1,1,2,24,12,1,20,1,55
33,2,1,1,1,2,8,2,4,2,24,9,1,31,1,48
56,1,1,1,1,2,7,2,1,2,24,10,2,12,1,62
49,1,1,1,1,1,5,4,1,3,24,16,1,13,1,45
50,2,1,1,1,2,1,2,1,2,24,11,1,9,1,24
37,1,1,1,1,6,2,4,1,3,24,15,1,22,1,129
21,2,1,1,1,1,1,1,1,2,24,8,3,10,1,21
49,1,1,1,1,1,2,1,2,2,24,15,1,17,1,62
30,2,1,1,1,2,2,2,1,2,24,12,1,22,1,44
30,1,1,1,1,1,2,1,1,2,24,10,1,27,1,56
21,2,1,1,1,1,1,1,1,2,24,9,3,30,NA,35
64,2,1,1,1,2,6,3,4,4,24,11,3,3,1,50
41,2,1,1,1,1,7,1,3,2,24,7,3,26,1,37
27,2,1,1,1,3,6,3,1,3,24,9,1,20,1,47
56,2,1,1,1,2,6,2,1,3,24,14,1,6,1,38
45,2,1,1,1,2,1,2,1,2,24,18,1,14,1,52
39,1,1,1,1,2,1,2,1,2,24,10,1,25,1,63
41,2,1,1,1,1,8,1,1,2,24,7,1,25,1,41
31,2,5,2,6,2,1,2,1,2,25,7,1,36,1,58
36,1,1,1,1,1,1,1,1,2,25,11,2,21,1,41
35,1,1,1,1,2,1,2,1,2,17,7,3,33,1,38
49,2,1,1,1,2,4,2,1,4,17,11,1,13,1,47
45,1,1,1,1,4,4,5,1,4,17,17,1,19,1,73
47,2,1,1,1,2,6,2,2,2,17,13,3,11,NA,36
37,1,1,1,1,2,1,2,1,2,17,9,1,28,1,47
32,2,1,1,1,2,1,2,1,2,17,7,1,17,1,23
29,1,1,1,1,2,6,2,1,3,17,14,1,31,1,61
38,2,1,1,1,2,6,2,3,2,17,11,1,21,1,43
40,2,4,2,2,2,9,3,3,1,17,12,1,3,NA,30
20,1,1,1,3,2,1,2,1,2,17,6,1,48,1,50
41,1,1,1,1,2,7,2,4,4,17,9,1,27,1,37
40,2,1,1,1,2,1,2,1,2,17,7,1,10,1,40
37,1,1,1,1,2,4,2,1,4,17,7,1,31,1,45
52,1,1,1,3,2,4,6,4,4,17,17,2,9,1,48
53,2,1,1,1,1,7,2,3,2,17,14,2,8,1,40
51,1,1,1,1,2,2,2,2,2,17,16,1,7,1,65
54,2,1,1,1,2,4,2,4,4,17,9,1,10,1,39
52,1,1,1,1,2,8,2,1,5,17,10,1,15,1,43
29,1,1,1,1,2,2,2,1,2,17,7,1,38,1,36
48,1,1,1,1,5,5,2,1,3,17,14,1,15,1,55
55,2,1,1,1,4,5,4,1,2,17,16,1,4,1,40
53,1,1,1,1,2,6,2,1,2,17,11,1,12,1,44
53,2,2,1,1,2,6,4,2,4,17,9,1,14,1,42
48,1,1,1,1,3,4,2,2,2,17,15,1,13,1,47
63,1,1,1,1,6,5,6,4,4,17,13,3,5,NA,27
37,1,1,1,1,2,5,2,2,2,17,10,1,33,1,58
37,2,1,1,2,2,0,3,4,2,17,15,1,21,1,65
