a5,b1,b11,b12,c1,c15,c28,c33,c35,c5,centre,christian,conserv,d4,d6,d9,e4,e5,e7,f1,f2,f27,f3,f30,f32,f5,green,happy,leftparty,liberal,socialdemocrats
"0,5 hour to 1 hour",Hardly interested,No,NOT APPLICABLE,7,Fair,No,No,No,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Neither agree nor disagr,2.000000,Female,No,1980.000,"Yes, currently",Refusal,A big city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,REFUSAL,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,4.000000,Agree,Agree,Disagree,3.000000,Male,Yes,1949.000,"Yes, previously",F,Town or small city,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,CENTRE PARTY,8,Very good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1936.000,"Yes, previously",P,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,9,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Neither agree nor disagr,2.000000,Female,No,1949.000,"Yes, currently",K,Country village,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,8,Very good,Yes,Yes,No,Yes,0,0,0,No,No,Not applicable,Agree strongly,Agree,Agree,1.000000,Male,Yes,1984.000,No,M,Country village,1,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CENTRE PARTY,8,Very good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,3.000000,Agree,Agree,Agree,3.000000,Male,No,1944.000,"Yes, currently",D,Country village,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,No,1962.000,"Yes, currently",N,A big city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,No,No,Not applicable,Agree,Agree,Agree,2.000000,Female,Yes,1978.000,No,D,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Not eligible to vote,NOT APPLICABLE,9,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,6.000000,Female,No,1989.000,No,P,Town or small city,0,1,0,0,0
"More than 1,5 hours, up ",Very interested,Yes,SOCIAL DEMOCRATS,7,Bad,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,3.000000,Male,Yes,1957.000,"Yes, currently",D,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,7,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Agree,Neither agree nor disagr,Agree,2.000000,Female,No,1935.000,"Yes, previously",P,Country village,0,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,Yes,0,0,1,No,No,Not applicable,Agree strongly,Agree strongly,Agree,4.000000,Male,No,1987.000,No,U,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Male,Yes,1948.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
No time at all,Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,Not applicable,Agree,Agree,Agree strongly,2.000000,Female,No,1942.000,"Yes, currently",S,A big city,0,1,0,0,1
No time at all,Quite interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,No,Yes,0,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Male,No,1956.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,Yes,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Agree,2.000000,Male,No,1944.000,"Yes, previously",D,Country village,0,1,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,9,Good,Yes,No,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Female,No,1977.000,No,D,Town or small city,0,1,0,1,0
"Less than 0,5 hour",Quite interested,Yes,GREEN PARTY,9,Very good,Yes,Yes,No,Yes,0,0,0,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Agree,3.000000,Female,No,1960.000,"Yes, currently",P,Suburbs or outskirts of ,1,1,0,0,0
"More than 1,5 hours, up ",Very interested,No,NOT APPLICABLE,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,1.000000,Male,No,1928.000,"Yes, previously",F,Country village,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,SOCIAL DEMOCRATS,8,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Agree,2.000000,Male,No,1923.000,"Yes, currently",F,Country village,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,7,Good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,1.000000,Neither agree nor disagr,Agree,Agree,2.000000,Female,No,1947.000,"Yes, previously",P,A big city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,3.000000,Agree,Agree,Agree,5.000000,Male,No,1965.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,3.000000,Neither agree nor disagr,Agree,Agree,3.000000,Male,No,1945.000,"Yes, currently",M,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree strongly,Agree strongly,Agree,1.000000,Male,No,1981.000,"Yes, currently",M,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,7,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,4.000000,Female,No,1987.000,No,Don't know,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Quite interested,No,NOT APPLICABLE,9,Good,Yes,No,Yes,Yes,0,0,0,Yes,No,2.000000,Agree,Agree,Agree,4.000000,Female,No,1962.000,"Yes, currently",D,A big city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,2.000000,Female,Yes,1975.000,"Yes, currently",P,A big city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,3.000000,Agree,Neither agree nor disagr,Agree,2.000000,Male,No,1937.000,No,D,Suburbs or outskirts of ,0,1,0,1,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,3,Fair,No,No,No,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Neither agree nor disagr,3.000000,Male,No,1953.000,"Yes, currently",H,Suburbs or outskirts of ,0,0,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Agree strongly,Agree strongly,1.000000,Female,No,1945.000,"Yes, currently",S,Town or small city,0,1,0,0,1
More than 3 hours,Quite interested,No,NOT APPLICABLE,3,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Disagree,Disagree,Disagree strongly,1.000000,Female,No,1918.000,No,M,Country village,0,0,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,CONSERVATIVE,8,Fair,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1944.000,"Yes, currently",D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,No,NOT APPLICABLE,8,Good,No,Yes,No,No,0,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Agree,1.000000,Male,No,1946.000,"Yes, currently",S,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,7,Very good,Yes,Yes,Yes,No,0,0,1,No,No,Not applicable,Neither agree nor disagr,Agree strongly,Agree,4.000000,Male,No,1986.000,No,F,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Female,No,1966.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,1,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,3.000000,Agree,Agree,Agree,5.000000,Female,No,1964.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Agree strongly,Agree,1.000000,Female,No,1982.000,"Yes, currently",R,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,1.000000,Agree,Neither agree nor disagr,Agree,2.000000,Female,No,1943.000,"Yes, previously",N,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,LIBERALS,9,Very good,Yes,Yes,Yes,Yes,0,0,0,Yes,No,1.000000,Agree strongly,Agree,Agree,3.000000,Male,Yes,1965.000,"Yes, currently",H,Suburbs or outskirts of ,0,1,0,1,0
No time at all,Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,No,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Male,No,1954.000,"Yes, currently",N,Suburbs or outskirts of ,0,1,0,0,1
"More than 1 hour, up to ",Very interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1930.000,"Yes, previously",D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,9,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,4.000000,Disagree,Agree,Disagree,1.000000,Female,Yes,1933.000,"Yes, currently",F,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,CHRISTIAN DEMOCRATS,8,Good,Yes,Don't know,Yes,No,0,1,0,Yes,Yes,4.000000,Agree,Neither agree nor disagr,Agree,2.000000,Female,No,1941.000,"Yes, previously",P,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Disagree,Neither agree nor disagr,2.000000,Female,No,1952.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,1.000000,Agree,Agree,Agree,4.000000,Male,No,1966.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Not eligible to vote,NOT APPLICABLE,7,Fair,No,No,No,No,0,0,0,Yes,Yes,7.000000,Agree,Agree,Neither agree nor disagr,9.000000,Male,Yes,1964.000,"Yes, currently",K,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Very interested,No,NOT APPLICABLE,5,Fair,No,No,No,No,0,0,0,Yes,Yes,6.000000,Neither agree nor disagr,Agree,Disagree strongly,1.000000,Male,Yes,1949.000,"Yes, currently",K,A big city,0,0,0,0,0
"Less than 0,5 hour",Quite interested,Not eligible to vote,NOT APPLICABLE,8,Very good,Yes,No,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,5.000000,Male,No,1988.000,No,H,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Not at all interested,No,NOT APPLICABLE,5,Bad,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Disagree,Disagree,Neither agree nor disagr,1.000000,Female,Yes,1913.000,"Yes, previously",M,Town or small city,0,0,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Fair,Yes,Yes,Yes,No,0,0,0,Yes,No,2.000000,Agree,Agree,Agree,4.000000,Female,No,1965.000,"Yes, currently",P,Farm or home in countrys,0,1,0,0,1
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,9,Good,Yes,No,No,Yes,0,0,1,Yes,No,2.000000,Agree,Agree strongly,Neither agree nor disagr,4.000000,Male,Yes,1972.000,No,H,Suburbs or outskirts of ,0,1,0,0,0
